Insurer_name,Insure_type,Year_,Policy_type,No_of_policies,No_of_persons_covered,Gross_premium
Go Digit General Insurance Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,25210,2084009,1709457622.61
Go Digit General Insurance Ltd.,Private,2020-21,Individual Family Floater  ,4068,18765,81418024.71
Go Digit General Insurance Ltd.,Private,2020-21,Individual Other than Family Floater,8258,8258,36617695.06
Go Digit General Insurance Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Go Digit General Insurance Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,14050,3005666,3926530403.62
Go Digit General Insurance Ltd.,Private,2021-22,Individual Family Floater  ,14473,43723,183901903.43
Go Digit General Insurance Ltd.,Private,2021-22,Individual Other than Family Floater,13682,13837,84370678.71
HDFC ERGO General Insurance Co. Ltd.^,Private,2013-14,Family/Floater Insurance excluding Individual Policies,9047,26499,83158141.88
HDFC ERGO General Insurance Co. Ltd.^,Private,2013-14,Government Sponsored Schemes including RSBY,7,1775568,137613991.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,102,105643,150433970.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2013-14,Individual Insurance excluding Family /Floater Policies,11904,16788,86316112.12
HDFC ERGO General Insurance Co. Ltd.^,Private,2014-15,Family/Floater Insurance excluding Individual Policies,24321,73000,193167608.90
HDFC ERGO General Insurance Co. Ltd.^,Private,2014-15,Government Sponsored Schemes including RSBY,8,606230,38463533.71
HDFC ERGO General Insurance Co. Ltd.^,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,87,41623,47955818.05
HDFC ERGO General Insurance Co. Ltd.^,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,24490,34510,194025655.76
HDFC ERGO General Insurance Co. Ltd.^,Private,2015-16,Government Sponsored Schemes including RSBY,8,606000,70200000.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,84,89000,96100000.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2015-16,Individual Family Floater  ,37294,113000,256400000.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2015-16,Individual Other than Family Floater,33148,45000,232900000.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2016-17,Government Sponsored Schemes including RSBY,0,0,-133938.00
HDFC ERGO General Insurance Co. Ltd.^,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,119,25730,24340034.45
HDFC ERGO General Insurance Co. Ltd.^,Private,2016-17,Individual Family Floater  ,45787,286548,391563406.07
HDFC ERGO General Insurance Co. Ltd.^,Private,2016-17,Individual Other than Family Floater,26025,26318,168518441.79
HDFC ERGO General Insurance Co. Ltd.^^,Private,2013-14,Family/Floater Insurance excluding Individual Policies,146116,347517,877660054.64
HDFC ERGO General Insurance Co. Ltd.^^,Private,2013-14,Government Sponsored Schemes including RSBY,17,1367843,299509003.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,906,1608654,2497193918.56
HDFC ERGO General Insurance Co. Ltd.^^,Private,2013-14,Individual Insurance excluding Family /Floater Policies,269967,227688,2186449148.19
HDFC ERGO General Insurance Co. Ltd.^^,Private,2014-15,Family/Floater Insurance excluding Individual Policies,168157,412992,1502700533.47
HDFC ERGO General Insurance Co. Ltd.^^,Private,2014-15,Government Sponsored Schemes including RSBY,,2817781,-9983835.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,813,381231,891005282.93
HDFC ERGO General Insurance Co. Ltd.^^,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,273341,236103,2649881418.16
HDFC ERGO General Insurance Co. Ltd.^^,Private,2015-16,Government Sponsored Schemes including RSBY,,71000,0.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,1257,348000,1033300000.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2015-16,Individual Family Floater  ,172931,435000,1817900000.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2015-16,Individual Other than Family Floater,282337,244000,2863000000.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,8000,1246899,1289655841.79
HDFC ERGO General Insurance Co. Ltd.^^,Private,2016-17,Individual Family Floater  ,303872,559724,2685340352.28
HDFC ERGO General Insurance Co. Ltd.^^,Private,2016-17,Individual Other than Family Floater,160694,143306,2920814878.08
HDFC ERGO General Insurance Co. Ltd.^^,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,25994,1310290,1938146214.69
HDFC ERGO General Insurance Co. Ltd.^^,Private,2017-18,Individual Family Floater  ,396440,844549,3554158189.29
HDFC ERGO General Insurance Co. Ltd.^^,Private,2017-18,Individual Other than Family Floater,231941,228206,4249775182.82
HDFC ERGO General Insurance Co. Ltd.^^,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,2,6100000,1006500000.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,68770,1767055,6148013266.52
HDFC ERGO General Insurance Co. Ltd.^^,Private,2018-19,Individual Family Floater  ,535827,1265100,4171359409.45
HDFC ERGO General Insurance Co. Ltd.^^,Private,2018-19,Individual Other than Family Floater,461796,473290,1216405122.33
HDFC ERGO General Insurance Co. Ltd.^^,Private,2019-20,Government Sponsored Schemes including RSBY,1,6100000,167749999.95
HDFC ERGO General Insurance Co. Ltd.^^,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,212553,3719728,6214842213.84
HDFC ERGO General Insurance Co. Ltd.^^,Private,2019-20,Individual Family Floater  ,526346,1559426,4859015145.16
HDFC ERGO General Insurance Co. Ltd.^^,Private,2019-20,Individual Other than Family Floater,248690,374174,1404082816.79
HDFC ERGO General Insurance Co. Ltd.^^,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,214226,4252615,10098874824.99
HDFC ERGO General Insurance Co. Ltd.^^,Private,2020-21,Individual Family Floater  ,1391248,3750163,15903574768.13
HDFC ERGO General Insurance Co. Ltd.^^,Private,2020-21,Individual Other than Family Floater,1017165,1597681,11332357419.73
HDFC ERGO General Insurance Co. Ltd.^^,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
HDFC ERGO General Insurance Co. Ltd.^^,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5273,3911090,12511841881.92
HDFC ERGO General Insurance Co. Ltd.^^,Private,2021-22,Individual Family Floater  ,1477644,4142728,22787144484.67
HDFC ERGO General Insurance Co. Ltd.^^,Private,2021-22,Individual Other than Family Floater,660921,734489,7974811749.39
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2013-14,Family/Floater Insurance excluding Individual Policies,206616,685675,2912407011.31
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2013-14,Government Sponsored Schemes including RSBY,15,155749,77706747.08
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,603,661795,1951111192.45
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2013-14,Individual Insurance excluding Family /Floater Policies,222061,374719,1640839826.95
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2014-15,Family/Floater Insurance excluding Individual Policies,261576,832910,3291805600.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2014-15,Government Sponsored Schemes including RSBY,,0,-601161.74
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,735,785860,2278475000.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2014-15,Individual Insurance excluding Family/ Floater Policies,221708,349270,1931876000.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,1036,1090000,2980000000.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2015-16,Individual Family Floater  ,330059,1068000,4246900000.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2015-16,Individual Other than Family Floater,244925,375000,2223600000.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,1491,1177501,3745515762.33
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2016-17,Individual Family Floater  ,414319,1342022,5599307920.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2016-17,Individual Other than Family Floater,265504,387711,2547850310.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2115,1349505,4858582568.07
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2017-18,Individual Family Floater  ,512990,1666750,7692575048.41
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2017-18,Individual Other than Family Floater,294259,414199,3110625116.18
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2018-19,Government Sponsored Schemes including RSBY & PMJAY,1,699983,103608288.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2439,1697860,5851638287.74
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2018-19,Individual Family Floater  ,689404,2226059,10157954111.52
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2018-19,Individual Other than Family Floater,371208,492455,3762109381.95
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2019-20,Government Sponsored Schemes including RSBY,1,699983,2095159.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2326,1664611,6393500380.42
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2019-20,Individual Family Floater  ,804920,2592304,12573673681.19
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2019-20,Individual Other than Family Floater,399202,511991,4619891550.42
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2020-21,Individual Family Floater  ,0,0,0.00
HDFC ERGO Health Insurance Co. Ltd.*,Standalone,2020-21,Individual Other than Family Floater,0,0,0.00
ICICI Lombard General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,109309,295111,1412787720.93
ICICI Lombard General Insurance Co. Ltd.,Private,2013-14,Government Sponsored Schemes including RSBY,49,12217870,2086616594.44
ICICI Lombard General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,3404,2634700,7450309083.49
ICICI Lombard General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,488918,502470,4315321640.74
ICICI Lombard General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,106515,304058,1563277908.18
ICICI Lombard General Insurance Co. Ltd.,Private,2014-15,Government Sponsored Schemes including RSBY,88,8179952,1447547560.00
ICICI Lombard General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,3074,1717184,5025535391.08
ICICI Lombard General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,551607,556852,5449816530.99
ICICI Lombard General Insurance Co. Ltd.,Private,2015-16,Government Sponsored Schemes including RSBY,52,19200000,348900000.00
ICICI Lombard General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,3497,2518000,6243700000.00
ICICI Lombard General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,109928,315000,1735000000.00
ICICI Lombard General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,653053,664000,5849100000.00
ICICI Lombard General Insurance Co. Ltd.,Private,2016-17,Government Sponsored Schemes including RSBY,19,17762178,2195356018.50
ICICI Lombard General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,4151,1898177,5436860656.63
ICICI Lombard General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,130338,370927,2016110958.67
ICICI Lombard General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,755875,773909,7027448757.91
ICICI Lombard General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,6275567,378741710.00
ICICI Lombard General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5561,3006156,8189216521.55
ICICI Lombard General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,147050,421799,2327689218.77
ICICI Lombard General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,861867,881640,8480115223.67
ICICI Lombard General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,8,6071136,75256860.00
ICICI Lombard General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,7128,4190192,12918162063.68
ICICI Lombard General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,168180,450658,2602346204.01
ICICI Lombard General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,4059444,4466741,7075864289.00
ICICI Lombard General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,8,3839306,17315645.00
ICICI Lombard General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,7861,10819283,21082232374.02
ICICI Lombard General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,295781,858146,3305617613.92
ICICI Lombard General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,870928,908023,2546341404.65
ICICI Lombard General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
ICICI Lombard General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,13445,10232190,19034498931.81
ICICI Lombard General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,335298,978282,4089647147.76
ICICI Lombard General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,731291,772008,3267605057.17
ICICI Lombard General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
ICICI Lombard General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,16680,14651320,26014727980.85
ICICI Lombard General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,369577,1075190,5115408528.57
ICICI Lombard General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,604641,634472,3744449527.77
IFFCO Tokio General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,35788,128000,219974436.26
IFFCO Tokio General Insurance Co. Ltd.,Private,2013-14,Government Sponsored Schemes including RSBY,116,9887000,1100722920.83
IFFCO Tokio General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,802,833000,1280961079.17
IFFCO Tokio General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,57650,85000,220243814.54
IFFCO Tokio General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,55240,237237,370931702.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2014-15,Government Sponsored Schemes including RSBY,57,12259200,743990458.71
IFFCO Tokio General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,1000,1379218,2157818219.79
IFFCO Tokio General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,59096,91612,240542549.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2015-16,Government Sponsored Schemes including RSBY,28,5226000,753600000.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,982,1606000,2663900000.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,81819,317000,589000000.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,60868,85000,278400000.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2016-17,Government Sponsored Schemes including RSBY,24,17873060,850890663.81
IFFCO Tokio General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,1125,718293,3202318227.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,99585,320856,796080700.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,55384,72457,281015941.08
IFFCO Tokio General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,17872953,863038691.81
IFFCO Tokio General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1603,2089779,4575387164.97
IFFCO Tokio General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,105119,352005,942081910.65
IFFCO Tokio General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,58276,74911,293189515.84
IFFCO Tokio General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,24,20010290,569181764.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1731,1613080,6049106061.57
IFFCO Tokio General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,99294,323478,1063499189.35
IFFCO Tokio General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,54405,68154,317309915.65
IFFCO Tokio General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,1,22801402,2453416024.97
IFFCO Tokio General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2062,2514621,9147858114.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,86345,278512,1192747939.03
IFFCO Tokio General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,137618,154811,364086080.09
IFFCO Tokio General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,1,13850217,3545008439.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,3161,3145307,9998010259.39
IFFCO Tokio General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,92982,292209,1325734102.24
IFFCO Tokio General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,333690,384533,748190654.13
IFFCO Tokio General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,2,10306677,3403234759.00
IFFCO Tokio General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2821,3326217,12240617631.31
IFFCO Tokio General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,81611,255150,1330974107.45
IFFCO Tokio General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,318865,342405,548548417.81
Kotak Mahindra General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,56,160,500000.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,71,80,400000.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,5007,15310,53851000.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,8260,8510,40641000.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,98,21149,52057111.67
Kotak Mahindra General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,10303,31998,110309138.87
Kotak Mahindra General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,16802,18241,90422903.40
Kotak Mahindra General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,313602,366176,264688476.15
Kotak Mahindra General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,15578,49017,189544565.63
Kotak Mahindra General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,20751,23959,153384250.19
Kotak Mahindra General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,416,915207,689361900.83
Kotak Mahindra General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,15325,48929,223297689.08
Kotak Mahindra General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,15487,18202,144149362.43
Kotak Mahindra General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1403,974802,1043018133.90
Kotak Mahindra General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,28262,89238,403050029.52
Kotak Mahindra General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,44915,48390,345617880.18
Kotak Mahindra General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Kotak Mahindra General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,6101,2436965,1531107660.71
Kotak Mahindra General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,33028,104361,498512718.82
Kotak Mahindra General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,40096,43441,333119210.64
Liberty General Insurance Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,61,43690,41921678.13
Liberty General Insurance Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,111,325,999263.03
Liberty General Insurance Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,343,179536,367901780.38
Liberty General Insurance Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,120,121,572121.73
Liberty General Insurance Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,424,223000,554800000.00
Liberty General Insurance Ltd.,Private,2015-16,Individual Family Floater  ,1436,4000,16200000.00
Liberty General Insurance Ltd.,Private,2015-16,Individual Other than Family Floater,4088,4000,18600000.00
Liberty General Insurance Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,676,647138,685345427.15
Liberty General Insurance Ltd.,Private,2016-17,Individual Family Floater  ,4456,14310,37242475.64
Liberty General Insurance Ltd.,Private,2016-17,Individual Other than Family Floater,5786,7398,65506362.74
Liberty General Insurance Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Liberty General Insurance Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,633,498662,1009119182.28
Liberty General Insurance Ltd.,Private,2017-18,Individual Family Floater  ,13118,40505,95723513.08
Liberty General Insurance Ltd.,Private,2017-18,Individual Other than Family Floater,10977,13099,86040760.40
Liberty General Insurance Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Liberty General Insurance Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,11190,786175,2313976856.19
Liberty General Insurance Ltd.,Private,2018-19,Individual Family Floater  ,25464,77008,152399143.07
Liberty General Insurance Ltd.,Private,2018-19,Individual Other than Family Floater,14038,17231,105090361.92
Liberty General Insurance Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Liberty General Insurance Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5464,751294,2175727809.52
Liberty General Insurance Ltd.,Private,2019-20,Individual Family Floater  ,29818,94431,185785790.59
Liberty General Insurance Ltd.,Private,2019-20,Individual Other than Family Floater,15666,18801,74666149.44
Liberty General Insurance Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Liberty General Insurance Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,15022,529494,1835282370.87
Liberty General Insurance Ltd.,Private,2020-21,Individual Family Floater  ,49550,149488,256138264.49
Liberty General Insurance Ltd.,Private,2020-21,Individual Other than Family Floater,48620,52426,110250577.73
Liberty General Insurance Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Liberty General Insurance Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,11589,4987026,1980902242.30
Liberty General Insurance Ltd.,Private,2021-22,Individual Family Floater  ,52974,167185,277553936.97
Liberty General Insurance Ltd.,Private,2021-22,Individual Other than Family Floater,46823,51658,119185342.87
Magma HDI General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,1,1,5497.00
Magma HDI General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,1,1,5000.00
Magma HDI General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Magma HDI General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2,15914,57889289.00
Magma HDI General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,961,1808,5346105.00
Magma HDI General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,33709,34030,104298900.40
Magma HDI General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Magma HDI General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,270,64954,785798772.42
Magma HDI General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,3811,7063,25660654.00
Magma HDI General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,396,382,1416219.00
Magma HDI General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Magma HDI General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,125,89214,377994845.80
Magma HDI General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,5428,17284,65284055.00
Magma HDI General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,5765,5761,33021867.00
Magma HDI General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Magma HDI General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,607,157180,426438072.72
Magma HDI General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,12744,40517,150691013.00
